Sample,X,Y,Z
633,0.0791,-0.0903,-1.0278
634,0.0813,-0.0845,-1.0298
635,0.0847,-0.0918,-1.0327
636,0.0872,-0.1013,-1.0354
637,0.0837,-0.1013,-1.0308
638,0.0811,-0.0950,-1.0288
639,0.0679,-0.0852,-1.0256
640,0.0808,-0.0850,-1.0374
641,0.0947,-0.1104,-1.0396
642,0.0833,-0.0977,-1.0269
643,0.0847,-0.0950,-1.0315
644,0.0835,-0.0876,-1.0347
645,0.0769,-0.0930,-1.0364
646,0.0852,-0.0994,-1.0325
647,0.0935,-0.0945,-1.0334
648,0.0757,-0.0891,-1.0259
649,0.0798,-0.0876,-1.0315
650,0.0911,-0.1006,-1.0344
651,0.0828,-0.0967,-1.0374
652,0.0842,-0.0925,-1.0325
653,0.0879,-0.0957,-1.0308
654,0.0840,-0.0801,-1.0305
655,0.0891,-0.0989,-1.0334
656,0.0815,-0.0984,-1.0366
657,0.0764,-0.0833,-1.0256
658,0.0872,-0.0928,-1.0266
659,0.0894,-0.0959,-1.0356
660,0.0847,-0.0859,-1.0364
661,0.0898,-0.0889,-1.0317
662,0.0842,-0.0950,-1.0325
663,0.0779,-0.0803,-1.0286
664,0.0923,-0.0879,-1.0337
665,0.0906,-0.1086,-1.0334
666,0.0884,-0.0979,-1.0347
667,0.0852,-0.0811,-1.0298
668,0.0801,-0.0962,-1.0347
669,0.0894,-0.0886,-1.0347
670,0.0891,-0.1079,-1.0344
671,0.0889,-0.0969,-1.0354
672,0.0830,-0.0891,-1.0347
673,0.0820,-0.0876,-1.0249
674,0.0918,-0.0945,-1.0347
675,0.0876,-0.1072,-1.0295
676,0.0791,-0.0867,-1.0317
677,0.0857,-0.0869,-1.0295
678,0.0857,-0.0950,-1.0286
679,0.0852,-0.0862,-1.0269
680,0.0886,-0.0933,-1.0364
681,0.0801,-0.0952,-1.0298
682,0.0798,-0.0862,-1.0247
683,0.0864,-0.0916,-1.0276
684,0.0886,-0.1038,-1.0305
685,0.0815,-0.0906,-1.0259
686,0.0857,-0.0940,-1.0325
687,0.0864,-0.0898,-1.0308
688,0.0793,-0.0942,-1.0266
689,0.0884,-0.0845,-1.0298
690,0.0933,-0.0952,-1.0374
691,0.0828,-0.0999,-1.0276
692,0.0796,-0.0784,-1.0317
693,0.0862,-0.0991,-1.0334
694,0.0796,-0.1038,-1.0317
695,0.0791,-0.0857,-1.0295
696,0.0903,-0.0933,-1.0278
697,0.0833,-0.0962,-1.0308
698,0.0847,-0.0881,-1.0325
699,0.0881,-0.0974,-1.0366
700,0.0828,-0.1013,-1.0315
701,0.0808,-0.0820,-1.0266
702,0.0862,-0.0884,-1.0298
703,0.0867,-0.1047,-1.0334
704,0.0842,-0.0972,-1.0317
705,0.0815,-0.0872,-1.0288
706,0.0818,-0.0945,-1.0286
707,0.0845,-0.0923,-1.0298
708,0.0896,-0.0969,-1.0295
709,0.0894,-0.0962,-1.0337
710,0.0881,-0.0911,-1.0298
711,0.0825,-0.0996,-1.0327
712,0.0781,-0.0815,-1.0317
713,0.0833,-0.0984,-1.0305
714,0.0808,-0.0930,-1.0337
715,0.0862,-0.0901,-1.0295
716,0.0842,-0.0977,-1.0269
717,0.0818,-0.0981,-1.0295
718,0.0837,-0.0911,-1.0344
719,0.0869,-0.0918,-1.0356
720,0.0852,-0.0898,-1.0347
721,0.0840,-0.0940,-1.0266
722,0.0828,-0.0911,-1.0325
723,0.0845,-0.0925,-1.0347
724,0.0798,-0.0981,-1.0334
725,0.0840,-0.0857,-1.0376
726,0.0828,-0.0977,-1.0276
727,0.0857,-0.0918,-1.0315
728,0.0876,-0.0918,-1.0354
729,0.0808,-0.0947,-1.0286
730,0.0837,-0.0835,-1.0308
731,0.0815,-0.0972,-1.0298
732,0.0818,-0.0886,-1.0393
